export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Argentina,Venezuela,691.3249999999999,294.173,2018
Argentina,Viet Nam,913.02,204.09099999999998,2018
Argentina,Zambia,2.551,0.976,2018
Armenia,Australia,3.2641444221580804,0.505191215782595,2018
Armenia,Austria,1.76934736292808,0.633859379973818,2018
Armenia,Belarus,101.83807345793801,35.2265612767281,2018
Armenia,Belgium-Luxembourg,120.425037585406,29.7819922110927,2018
Armenia,Bulgaria,8.47440295601631,2.12880616694011,2018
Armenia,Canada,55.825001280672105,12.1337505317972,2018
Armenia,China,70.19529731965214,28.131467896651976,2018
Armenia,"China, Hong Kong SAR",4.129,0.7979999999999999,2018
Armenia,Czechia,1.43620795164604,0.556033292363411,2018
Armenia,Estonia,13.493837980349698,6.15014660963796,2018
Armenia,France,192.08832980238705,55.31476493134452,2018
Armenia,Georgia,25.6971892959083,25.821942350447692,2018
Armenia,Germany,59.66378421651605,13.917686392150763,2018
Armenia,Greece,3.7081071757616,1.04445473914922,2018
Armenia,Israel,2.8361504488205203,0.6750362375659561,2018
Armenia,Italy,147.341908491142,38.7335112292321,2018
Armenia,Japan,37.8492266823896,8.164255939817782,2018
Armenia,Kazakhstan,14.658342131677301,5.1489274583251206,2018
Armenia,Kuwait,48.0,29.0,2018
Armenia,Latvia,4.76612413347076,2.03979568119963,2018
Armenia,Lebanon,17.2536320733857,8.44781915974992,2018
Armenia,Lithuania,117.7912522436804,36.34560234834655,2018
Armenia,Netherlands,10.721709987132302,3.8877175856748396,2018
Armenia,"Other Asia, nes",1.093,0.126,2018
Armenia,Poland,29.9061029607129,18.353528624161697,2018
Armenia,Rep. of Korea,27.533,1.651,2018
Armenia,Russian Federation,6860.273989603726,4124.783688082871,2018
Armenia,Sweden,21.171441284048,3.49192981389087,2018
Armenia,Switzerland,215.72464271004412,56.16170839745004,2018
Armenia,Thailand,2.73736578954072,0.253974455548859,2018
Armenia,USA,856.452556456473,192.62734762979989,2018
Armenia,Ukraine,162.18770258041963,93.920702816695,2018
Armenia,United Kingdom,5.67277094834654,1.5131279405257698,2018
Aruba,Curaçao,10.22,0.762,2018
Aruba,Suriname,6.598,1.35,2018
Australia,American Samoa,56.396,13.151,2018
Australia,Antigua and Barbuda,24.673000000000002,6.0,2018
Australia,Armenia,1.946,0.423,2018
Australia,Austria,894.7251005695666,124.125576466989,2018
Australia,Azerbaijan,35.96836882719026,7.286651353772201,2018
Australia,Bahamas,202.97,47.333,2018
Australia,Bahrain,365.60264160337954,153.27556124456322,2018
Australia,Bangladesh,65.036,15.165999999999999,2018
Australia,Barbados,506.662212200053,115.92101831944099,2018
Australia,Belarus,109.32288198062099,20.3848492272778,2018
Australia,Belgium-Luxembourg,18251.539100133024,14822.32035203997,2018
Australia,Belize,19.327,13.163,2018
Australia,Benin,25.789,6.013999999999999,2018
Australia,Bermuda,173.3049813769276,22.9688829645826,2018
Australia,Br. Virgin Isds,28.421000000000003,7.725,2018
Australia,Brazil,1588.948687533503,459.99298745922783,2018
Australia,Brunei Darussalam,16.878999999999998,2.0060000000000002,2018
Australia,Bulgaria,59.8738268114641,8.826732640682009,2018
Australia,Cambodia,1053.365,276.047,2018
Australia,Canada,167819.9982939632,57710.48364147408,2018
Australia,Cayman Isds,266.231,62.085,2018
Australia,Chile,20.6930627772537,7.45097502964233,2018
Australia,China,761703.6672518566,233667.52634585058,2018
Australia,"China, Hong Kong SAR",95123.90922683844,23720.92382180466,2018
Australia,"China, Macao SAR",1221.134,284.772,2018
Australia,Christmas Isds,87.73100000000001,20.459,2018
Australia,Cocos Isds,41.941,9.78,2018
Australia,Colombia,75.0433195915621,18.3722793197318,2018
Australia,Cook Isds,225.185,52.513000000000005,2018
Australia,Costa Rica,114.440409149037,25.911852634696604,2018
Australia,Cuba,5.015,1.169,2018
Australia,Curaçao,78.785,18.372,2018
Australia,Cyprus,163.656991353072,45.352653805608696,2018
Australia,Czechia,1679.3470966438902,637.868503218357,2018
Australia,Dem. Rep. of the Congo,21.309,4.968999999999999,2018
Australia,Denmark,20795.30796771574,9248.463033922519,2018
Australia,Dominica,61.766000000000005,14.404000000000002,2018
Australia,Dominican Rep.,93.405,21.781999999999996,2018
Australia,El Salvador,9.895765418886722,1.8807251066265203,2018
Australia,Estonia,1833.696420052413,570.898841187528,2018
Australia,FS Micronesia,41.427,11.327000000000002,2018
Australia,Fiji,3484.653246287866,851.1334288298146,2018
Australia,Finland,17039.965294216658,7703.863010840701,2018
Australia,France,5488.474844841278,2083.4147802640255,2018
Australia,French Polynesia,28.226,6.582000000000001,2018
Australia,Germany,38495.90875175434,15793.785010356709,2018
Australia,Ghana,60.943583518086875,14.2107734551421,2018
Australia,Greece,116.96249425767671,48.132891068701,2018
Australia,Greenland,100.78999999999999,16.861,2018
Australia,Grenada,27.758000000000003,6.473,2018
Australia,Guam,115.56,26.949,2018
Australia,Guyana,74.17999999999999,14.806,2018
Australia,Hungary,4.27,0.174,2018
Australia,Iceland,1021.2470000000001,193.511,2018
Australia,India,7092.142029265982,2076.057964269893,2018
Australia,Indonesia,5275.654102566406,1321.3334939659605,2018
Australia,Ireland,13089.797090880778,3175.4581546226104,2018
Australia,Israel,221.357132984962,42.4193689517428,2018
Australia,Italy,853.192638975599,687.9321656697331,2018
Australia,Jamaica,445.084,103.794,2018
Australia,Japan,45008.0468202585,16322.90386796735,2018
Australia,Jordan,2.7710000000000004,0.504,2018
Australia,Kazakhstan,226.89,55.3,2018
Australia,Kenya,252.24573780988547,59.6663201722859,2018
Australia,Kiribati,16.275,3.795,2018
Australia,Kyrgyzstan,21.079,7.224,2018
Australia,Lao People's Dem. Rep.,93.875,21.891,2018
Australia,Latvia,1640.3166840449705,624.3133511075359,2018
Australia,Lebanon,5.23811974787941,1.13133395119884,2018
Australia,Lithuania,304.73152901061,73.9887730866225,2018
Australia,Malaysia,27516.983709429278,6066.688888423034,2018
Australia,Maldives,237.87256273930652,86.4350672302777,2018
Australia,Malta,282.728009280444,56.31485292694801,2018
Australia,Marshall Isds,32.972,7.689,2018
Australia,Mauritius,155.8684538909041,31.775383442826598,2018
Australia,Mexico,1157.2060015699244,330.333335351845,2018
Australia,Mongolia,369.3575615966098,66.36421765037136,2018
Australia,Montenegro,73.347,10.905000000000001,2018
Australia,Morocco,31.379,8.243,2018
Australia,Myanmar,376.31349852876474,349.36400000000003,2018
Australia,N. Mariana Isds,14.402000000000001,3.358,2018
Australia,Nauru,18.179000000000002,4.239,2018
Australia,Nepal,41.405,10.58,2018
Australia,Netherlands,44800.396855547384,24238.06567954433,2018
Australia,New Caledonia,453.09399999999994,173.22899999999998,2018
Australia,New Zealand,74678.5770566698,29055.4212598886,2018
Australia,Nigeria,62.458999999999996,14.565,2018
Australia,Niue,2.14,0.499,2018
Australia,Norfolk Isds,250.012,62.904999999999994,2018
Australia,Norway,7013.992641771736,2501.5865665882957,2018
Australia,Oman,288.4759099213541,160.9792055079508,2018
Australia,"Other Asia, nes",15658.169015767066,3516.1003042530447,2018
Australia,Pakistan,9.42,2.1959999999999997,2018
Australia,Palau,22.14433711050052,3.98701741198808,2018
Australia,Panama,83.366,19.441,2018
Australia,Papua New Guinea,2714.315,687.5079999999999,2018
Australia,Paraguay,5.534,0.297,2018
Australia,Peru,86.15121470294763,15.167182128191499,2018
Australia,Philippines,6256.494495251127,1493.19844683466,2018
Australia,Poland,3657.6343977428937,909.0964869731549,2018
Australia,Portugal,626.7360728819626,593.8693949251939,2018
Australia,Qatar,640.8454066761888,261.420500426756,2018
Australia,Rep. of Korea,13811.572225134742,3443.306410184069,2018
Australia,Rep. of Moldova,4.8839999999999995,0.672,2018
Australia,Romania,29.372910493195402,5.443224061316309,2018
Australia,Russian Federation,2108.562305219406,927.683119613926,2018
Australia,Saint Helena,129.499,31.611,2018
Australia,Saint Lucia,44.378,10.349,2018
Australia,Saint Vincent and the Grenadines,50.224000000000004,11.144,2018
Australia,Samoa,226.825589707348,54.570272881419726,2018
Australia,Saudi Arabia,4.926,1.148,2018
Australia,Serbia,33.0404604399731,5.0724782175327405,2018
Australia,Seychelles,7.0036480400426795,3.60732930074825,2018
Australia,Sierra Leone,35.693000000000005,8.323,2018
Australia,Singapore,69706.24933323893,15236.38570048023,2018
Australia,Slovakia,139.924,60.835,2018
Australia,Slovenia,263.7237161473753,53.094148991716395,2018
Australia,So. African Customs Union,2035.6053704119374,1012.38839244407,2018
Australia,Solomon Isds,665.558999271794,239.88789330908307,2018
Australia,Spain,2720.9592917654118,1420.749495604885,2018
Australia,Sri Lanka,993.927,234.513,2018
Australia,Suriname,40.9092997610009,11.0872290608535,2018
Australia,Sweden,18071.86644408199,5525.2530445188895,2018
Australia,Switzerland,6856.494474680815,2451.435756205385,2018
Australia,Thailand,23580.84329870191,8436.78514611337,2018
Australia,Timor-Leste,181.119,42.445,2018
Australia,Tonga,39.371,11.093,2018
Australia,Trinidad and Tobago,373.76599999999996,87.163,2018
Australia,Turkey,41.851739106734904,11.2322511126055,2018
Australia,Tuvalu,39.351000000000006,20.174000000000003,2018
Australia,USA,350975.5686715156,126977.2070129942,2018
Australia,Uganda,54.8,37.819,2018
Australia,Ukraine,611.7025839157794,156.69858704485,2018
Australia,United Arab Emirates,25787.920573279782,6752.586419909839,2018
Australia,United Kingdom,319181.226532277,196977.20495181953,2018
Australia,United Rep. of Tanzania,95.477,36.45,2018
Australia,Uruguay,808.566,188.56,2018
Australia,Uzbekistan,9.812999999999999,2.205,2018
Australia,Vanuatu,821.704,224.48,2018
Australia,Viet Nam,4730.389,1179.5590000000002,2018
Australia,Zambia,2.78,1.0590000000000002,2018
Austria,Algeria,4.045,0.261,2018
Austria,Andorra,2.109,0.512,2018
Austria,Argentina,4.167,0.09,2018
Austria,Australia,860.5939327501429,269.9849874536229,2018
Austria,Azerbaijan,7.2620000000000005,0.45,2018
Austria,Bahamas,25.095000000000002,1.7710000000000001,2018
Austria,Bahrain,1.5619999999999998,0.23600000000000002,2018
Austria,Barbados,3.9604860386465495,0.7301046238021751,2018
Austria,Belarus,53.8134693490245,5.404258120856169,2018
Austria,Belgium-Luxembourg,3661.9375552301726,677.0452885058108,2018
Austria,Bermuda,88.51765460807991,9.89034636566049,2018
Austria,Bolivia (Plurinational State of),9.342,10.806,2018
Austria,Bosnia Herzegovina,20.0350509470951,2.9392884669012402,2018
Austria,Br. Virgin Isds,9.101,1.493,2018
Austria,Brazil,30.39138519198312,3.545386515604263,2018
Austria,Bulgaria,142.9130633132374,31.018647732024665,2018
Austria,Canada,2728.0133695280197,351.5788038184901,2018
Austria,Cayman Isds,22.469,2.32,2018
Austria,Chile,1.018,0.08,2018
Austria,China,2016.8735791559873,253.95576389871943,2018
Austria,"China, Hong Kong SAR",478.6293677300233,30.75692989190436,2018
Austria,"China, Macao SAR",3.7110000000000003,0.001,2018
Austria,Colombia,42.9661110268859,5.4151611004267,2018
Austria,Costa Rica,3.9050652859090493,0.319018763526303,2018
Austria,Croatia,419.8776722635261,102.46920845781074,2018
Austria,Cuba,3.795,0.32,2018
Austria,Cyprus,198.93020753766598,47.788940973028794,2018
Austria,Czechia,3396.199444660706,1364.2673969116295,2018
Austria,Dem. Rep. of the Congo,1.338,0.162,2018
Austria,Denmark,5229.238539172744,408.0152873455199,2018
Austria,Egypt,6.812,0.568,2018
Austria,Estonia,324.42348278022195,46.76103319301057,2018
Austria,Ethiopia,9.306000000000001,1.064,2018
Austria,Finland,2435.235298302163,367.0849410368181,2018
Austria,France,844.8497745551085,287.80128057394415,2018
Austria,Georgia,3.36936217197163,0.310039365529892,2018
Austria,Germany,100068.53690637484,34050.76042284324,2018
